TIME 24 HOURS,COUNTY,ROAD,PLACE,BRIEF ACCIDENT DETAILS,GENDER,AGE,CAUSE CODE,VICTIM,NO.,Date DD/MM/YYYY,year,hour,is_peak_hour
1630,MOMBASA,LIKONI-FERRY,FERRY TERMINUS,THE VEHICLE POWER FAILED AND ROLLED,M,A,81.0,DRIVER,1,2016-06-06,2016,16.0,0
745,MAKUENI,MOMBASA-NAIROBI,NEAR SULTAN,THE SAID M/V COLLIDED HEAD ON,M,A,98.0,DRIVER,1,2016-06-05,2016,7.0,1
1130,KIRINYAGA,KUTUS-KERUGOYA,NEAR ST.TERESA CATHOLIC CHURCH,THE SAID M/V KNOCKED DOWN PEDESTRIAN,M,J,60.0,PEDESTRIAN,1,2016-06-05,2016,11.0,0
1004,NAKURU,NAKURU-ELEMENTAITA,MZEE WANYAM AREA,THE SAID M/V SUDDENLY STOPPED AT THE MIDDLE OF THE ROAD AND WAS HIT FROM THE REAR OF THE SAID M/CYCLE,M,A,28.0,RIDER,1,2016-06-05,2016,10.0,0
1000,BARINGO,NGARATUK O-SIBILO,BARINGO NORTH,THE SAID M/V COLLIDED HEAD ON WITH THE SAID M/CYCLE,M,57,98.0,RIDER,1,2016-06-05,2016,10.0,0
1530,LAIKIPIA,BIASHARA STREET,NANYUKI TOWNSHIP,THE SAID M/V KNOCKED DOWN PEDESTRIAN,F,J,6.0,PEDESTRIAN,1,2016-06-05,2016,15.0,0
1400,SIAYA,SIAYA NYANDORERA,MWERI AREA,THE SAID M/V OF KANGA HIGH SCHOOL HIT THE SAID M/CYCLE,M,A,38.0,P/PASSENGER,1,2016-06-05,2016,14.0,0
2040,NAKURU,NJORO-ELBURGON,KINANA FARM,THE SAID M/V KNOCKED DOWN PEDESTRIAN,M,73,60.0,PEDESTRIAN,1,2016-06-05,2016,20.0,0
2100,EMBU,EMBU-KIRITIRI,MURARU,UNKNOWN M/V KNOCKED DOWN A PEDESTRIAN,M,3,7.0,PEDESTRIAN,1,2016-06-05,2016,21.0,0
500,KIAMBU,THIKA ROAD,TOLL AREA,THE VEHICLE RAMMED INTO REAR OF THE M/V KBU 899Z,M,A,4.0,DRIVER,1,2016-06-04,2016,5.0,0
