id,state,period,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV,dominant_cause,dominant_cause_name
178.0,Osun,Q4 2021,73,0,9,5,6,0,2,11,6,1,19,0,0,0,0,0,0,SPV,Speed Violation
179.0,Oyo,Q4 2021,101,1,12,7,8,2,2,15,17,2,10,0,1,1,0,5,1,SPV,Speed Violation
180.0,Plateau,Q4 2021,31,0,2,5,21,0,0,5,6,0,0,0,0,2,0,0,2,SPV,Speed Violation
181.0,Rivers,Q4 2021,14,0,5,0,6,0,2,4,3,0,2,1,0,0,0,0,0,SPV,Speed Violation
182.0,Sokoto,Q4 2021,61,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,SPV,Speed Violation
183.0,Taraba,Q4 2021,25,0,2,0,0,6,0,3,11,0,0,0,0,0,0,0,31,SLV,Other
184.0,Yobe,Q4 2021,29,0,10,2,0,1,1,2,10,1,0,2,0,0,0,0,1,SPV,Speed Violation
185.0,Zamfara,Q4 2021,22,0,2,0,0,0,0,5,1,1,0,0,0,0,0,0,1,SPV,Speed Violation
186.0,Abia,Q1 2022,20,0,5,1,8,0,0,3,0,0,2,1,0,1,0,0,0,SPV,Speed Violation
187.0,Adamawa,Q1 2022,75,0,2,2,0,0,0,15,1,1,2,3,0,0,0,0,0,SPV,Speed Violation
188.0,Akwa Ibom,Q1 2022,12,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,SPV,Speed Violation
189.0,Anambra,Q1 2022,24,0,1,0,7,0,0,8,0,0,2,3,0,0,0,1,0,SPV,Speed Violation
190.0,Bauchi,Q1 2022,90,0,8,2,0,2,0,19,17,5,11,3,0,0,0,0,7,SPV,Speed Violation
191.0,Bayelsa,Q1 2022,29,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,SPV,Speed Violation
192.0,Benue,Q1 2022,55,2,2,3,3,0,0,4,4,1,2,2,1,0,0,0,0,SPV,Speed Violation
193.0,Borno,Q1 2022,15,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6,SPV,Speed Violation
